doc_id,source_page,gov_id,fiscal_year,doc_type,department_printed,line_description,line_kind,amount,amount_kind,units,division,fund,org,sbcl,account,pay_range,flags
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Clement Avenue School,Enrollment,enrollment,,proposed,232.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Congress School,School Budget,school_summary,8131461.0,adopted,69.1,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Congress School,School Budget,school_summary,8574300.0,proposed,72.65,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Congress School,Enrollment,enrollment,,adopted,584.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Congress School,Enrollment,enrollment,,proposed,579.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Cooper School,School Budget,school_summary,4720140.0,adopted,38.87,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Cooper School,School Budget,school_summary,5627645.0,proposed,45.92,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Cooper School,Enrollment,enrollment,,adopted,414.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Cooper School,Enrollment,enrollment,,proposed,385.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Craig Montessori School,School Budget,school_summary,3115811.0,adopted,26.35,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Craig Montessori School,School Budget,school_summary,3694858.0,proposed,31.35,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Craig Montessori School,Enrollment,enrollment,,adopted,245.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Craig Montessori School,Enrollment,enrollment,,proposed,232.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Curtin Leadership Academy,School Budget,school_summary,3515080.0,adopted,29.16,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Curtin Leadership Academy,School Budget,school_summary,4035767.0,proposed,32.62,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Curtin Leadership Academy,Enrollment,enrollment,,adopted,279.0,,,,,,,
